player_name,psi_log_avg,psi_log_sr,psi_combined,rank
MA Jones,0.26692319883138343,0.09169665671923186,0.20851435146066624,360
KA Jamieson,0.25455768723763833,0.11264593379646033,0.20725376942391235,361
PHKD Mendis,0.2649704144002031,0.08928464638755321,0.20640849172931977,362
MA Atherton,0.3531459339566149,-0.08779957339442676,0.20616409817293435,363
Ahmed Shehzad,0.3013119649150914,0.014818657580709967,0.20581419580363092,364
V Shukla,0.22800949348764385,0.1599979091846627,0.2053389653866501,365
JP Inglis,0.2165451376296918,0.18159179654008303,0.20489402393315556,366
NR Kirton,0.26174243850731294,0.09078877045164599,0.2047578824887573,367
Karan KC,0.18070641608457763,0.25189240542958313,0.20443507919957948,368
T van der Gugten,0.24247853975229364,0.12811944945232903,0.20435884298563878,369
MP Vaughan,0.2838348204035062,0.04473371605368016,0.20413445228689753,370
PW Borren,0.23591513357053984,0.1397871763815199,0.20387248117419987,371
KD Karthik,0.24393458964039544,0.11972828187995593,0.2025324870535823,372
K Bhurtel,0.24000479962391352,0.12547390774034878,0.2018278356627253,373
Ishan Kishan,0.2356238141757391,0.1323616010364959,0.20120307646265803,374
MM Ali,0.23520492429604795,0.13308547650613411,0.20116510836607668,375
G Gambhir,0.25975892697648717,0.07619077634636472,0.19856954343311303,376
Mohammad Mithun,0.3007839229758718,-0.006553988349241627,0.19833795253416733,377
Shahid Nazir,0.28605821691425803,0.021766900918908903,0.19796111158247498,378
Mehidy Hasan Miraz,0.2768993514660647,0.039641667792577745,0.1978134569082357,379
