player_name,psi_log_econ,psi_log_avg,psi_combined,rank
Arafat Sunny,0.00790548597667991,-0.06850758619306942,0.0430365621364863,197
Mustafizur Rahman,-0.04053161283065912,-0.043428391943095584,0.042462798905616765,198
HH Streak,-0.022381954989529843,-0.05231523077335354,0.04233747217874564,199
ST Finn,-0.03505022634915337,-0.045830650575079186,0.042237175833103914,200
SO Ngoche,-0.06228827194753962,-0.03174239548672144,0.04192435430699417,201
MR Whitney,-0.03187303621635821,-0.04685392867304185,0.0418602978541473,202
RD Jackman,-0.08249481048897143,-0.020413027742428033,0.041106955324609167,203
JNT Seales,-0.01913925551690337,-0.051434384684263694,0.04066934162847692,204
RN ten Doeschate,0.036093257395253896,-0.0784930230029394,0.040297596203541626,205
Saad Bin Zafar,-0.1119927124189734,-0.0036026313452198946,0.0397326583698044,206
A Flintoff,-0.031109217513749617,-0.04378372953318323,0.039558892193372025,207
DS Airee,-0.0814505250196965,-0.018607095230959388,0.039554905160538424,208
AR Caddick,-0.015065969239720143,-0.05074299051755337,0.038850650091608964,209
R McLaren,0.008193762408784225,-0.06156080187420214,0.03830928044654002,210
Zahoor Khan,-0.015752521912239525,-0.04926083268832477,0.03809139576296302,211
JN Frylinck,0.03479417283129532,-0.07407031452539369,0.037782152073164016,212
D Pretorius,-0.006708672639894937,-0.05321134399527451,0.03771045354348132,213
SMSM Senanayake,-0.08140777297855414,-0.01576588183704581,0.03764651221754859,214
KP Meiyappan,0.04997514448112742,-0.08139392568179736,0.0376042356274891,215
Shaheen Shah Afridi,0.048850985924781216,-0.0803239248386679,0.03726562125085153,216
Zulfiqar Babar,-0.03111315007226164,-0.0401831817961533,0.03715983788818941,217
RA Jadeja,-0.06636212315298332,-0.022533104252514723,0.037142777219337585,218
M Ntini,-0.005727472068132318,-0.05275520268577892,0.03707929247989672,219
Maninder Singh,-0.11389848349148601,0.0013429988041616975,0.03707082862772087,220
A Nortje,-0.008607139839763953,-0.051154214088295506,0.03697185600545166,221
MA Ealham,-0.04944816115380229,-0.030575672444047457,0.036866502013965734,222
CK Langeveldt,0.0949649555938162,-0.10264649633858458,0.03677601236111765,223
Aizaz Cheema,0.03316448476239714,-0.07164380592010876,0.03670770902594012,224
GB Troup,-0.016348057952948466,-0.04652668349645735,0.036467141648621054,225
ND Hirwani,0.0032564368940255243,-0.055207955323664314,0.035719824584434366,226
JM Anderson,-0.052300898283873166,-0.02680668161976111,0.0353047538411318,227
Wasim Raja,-0.058226188467805313,-0.023585013087162127,0.03513207154737652,228
SR Taylor,-0.053225436808069085,-0.025760509459447398,0.03491548524232129,229
J Theron,0.036856069113590226,-0.0706911010486463,0.03484204432790079,230
BJ McCarthy,-0.01261990234525312,-0.04493007281258537,0.03416001599014128,231
Usman Shinwari,0.0005573673109406016,-0.050903875573642565,0.033750127945448176,232
DT Johnston,-0.03516194070911444,-0.03295218704407674,0.03368877159908931,233
J Srinath,-0.060365629552371694,-0.020046968945407796,0.03348652248106243,234
LH Ferguson,-0.022539930368577623,-0.03842448048706149,0.03312963044756687,235
JV Coney,-0.15373391564262373,0.027230936843969603,0.03309068065156151,236
GD Campbell,-0.011885185224194161,-0.043590320873211505,0.033021942323539055,237
KAJ Roach,-0.06471893198634869,-0.01705250779084567,0.03294131585601334,238
Sikander Bakht,-0.029353134504960368,-0.033337503016361195,0.03200938017922759,239
Zeeshan Maqsood,-0.01771817018604274,-0.03869100716760159,0.031700061507081975,240
PJ Martin,-0.05890513028182299,-0.016995174275002054,0.03096515961060903,241
D Gough,-0.010191368477277071,-0.04053718256625417,0.030421911203261803,242
B Lee,0.023192274209261045,-0.057052995991839224,0.030304572591472467,243
CN Greaves,0.07186139698818395,-0.08026792041362148,0.029558147946353003,244
AJ Hall,0.010041806327282682,-0.04876089021904747,0.02915999137027075,245
PR Adams,0.007507649037648791,-0.04613276121821748,0.028252624466262057,246
T Panyangara,-0.05036217004315357,-0.01706092894268823,0.02816134264284334,247
A Dananjaya,-0.00044650570560347683,-0.041527090897445995,0.027833562500165155,248
Arshad Ayub,-0.0935980783043522,0.005587838993350439,0.027474133439217105,249
Mohammad Nabi,-0.07343871480197799,-0.004133038789071624,0.027234930793373746,250
JD Nel,-0.02310075415665349,-0.028308130559733385,0.02657233842537342,251
NM Hauritz,-0.028564311045876294,-0.025443525552871278,0.026483787383872952,252
AW Greig,-0.05436558279568758,-0.012403257983162864,0.02639069958733777,253
SM Boland,-0.022651894254282875,-0.028142895487377577,0.026312561743012677,254
Tauseef Ahmed,-0.1708069924339865,0.04740013799193666,0.02533557215003773,255
NA Foster,-0.04153260919318376,-0.017081343245705483,0.02523176522819824,256
SR Watson,-0.021026940344721405,-0.02725996069238657,0.025182287243164847,257
KCG Benjamin,0.017122154056395573,-0.04629438378957235,0.02515553784091638,258
CA Young,-0.0007965693081138385,-0.03723826996894811,0.025091036415336682,259
Harbhajan Singh,-0.026059715937054553,-0.02415490245626402,0.024789840283194198,260
ZG Foulkes,-0.04561212548390803,-0.014232126034936829,0.02469212585126056,261
AR McBrine,-0.06491661695468627,-0.003708713018260418,0.0241113476637357,262
Haseeb Amjad,0.03544951499113757,-0.053793562955243845,0.02404587030645004,263
